freq,citizen,agedef,age,unit,sex,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,AT,REACH,Y45-49,NR,T,DE	272 e	232 e	256 e	243 e
A,AT,REACH,Y45-49,NR,T,DK	5 	: 	: 	: 
A,AT,REACH,Y45-49,NR,T,EE	: 	: 	0 	0 
A,AT,REACH,Y45-49,NR,T,ES	: b@N	: 	: 	: @N
A,AT,REACH,Y45-49,NR,T,FI	1 	2 	4 	0 
A,AT,REACH,Y45-49,NR,T,HR	22 	25 	19 	18 
A,AT,REACH,Y45-49,NR,T,IT	26 	27 	34 	22 
A,AT,REACH,Y45-49,NR,T,LT	0 	: 	: 	0 
A,AT,REACH,Y45-49,NR,T,LU	7 	5 	2 	5 
A,AT,REACH,Y45-49,NR,T,LV	1 	1 	0 	0 
A,AT,REACH,Y45-49,NR,T,NL	15 	17 	11 	13 
A,AT,REACH,Y45-49,NR,T,SE	10 	26 	12 	7 
A,AT,REACH,Y45-49,NR,T,SK	6 	1 	3 	1 
A,AT,REACH,Y5-9,NR,T,BE	: 	: 	7 	9 
A,AT,REACH,Y5-9,NR,T,BG	2 	14 	1 	3 
A,AT,REACH,Y5-9,NR,T,CZ	2 	2 	2 	3 
A,AT,REACH,Y5-9,NR,T,DE	112 e	127 e	101 e	101 e
A,AT,REACH,Y5-9,NR,T,DK	3 	: 	: 	: 
A,AT,REACH,Y5-9,NR,T,EE	: 	: 	0 	0 
A,AT,REACH,Y5-9,NR,T,ES	: b@N	: 	: 	: @N
A,AT,REACH,Y5-9,NR,T,FI	0 	2 	3 	1 
A,AT,REACH,Y5-9,NR,T,HR	11 	4 	5 	8 
A,AT,REACH,Y5-9,NR,T,IT	12 	10 	16 	10 
A,AT,REACH,Y5-9,NR,T,LT	0 	0 	0 	0 
A,AT,REACH,Y5-9,NR,T,LU	4 	1 	3 	5 
A,AT,REACH,Y5-9,NR,T,LV	0 	0 	0 	0 
A,AT,REACH,Y5-9,NR,T,NL	10 	7 	12 	18 
A,AT,REACH,Y5-9,NR,T,SE	8 	9 	9 	4 
A,AT,REACH,Y5-9,NR,T,SK	0 	1 	1 	2 
A,AT,REACH,Y50-54,NR,T,BE	: 	: 	8 	8 
A,AT,REACH,Y50-54,NR,T,BG	14 	28 	18 	21 
A,AT,REACH,Y50-54,NR,T,CZ	11 	12 	9 	4 
A,AT,REACH,Y50-54,NR,T,DE	254 e	253 e	202 e	187 e
A,AT,REACH,Y50-54,NR,T,DK	5 	: 	: 	: 
A,AT,REACH,Y50-54,NR,T,EE	: 	: 	0 	1 
A,AT,REACH,Y50-54,NR,T,ES	: b@N	: 	: 	: @N
A,AT,REACH,Y50-54,NR,T,FI	0 	2 	1 	2 
A,AT,REACH,Y50-54,NR,T,HR	27 	26 	34 	17 
A,AT,REACH,Y50-54,NR,T,IT	20 	27 	32 	28 
A,AT,REACH,Y50-54,NR,T,LT	1 	0 	0 	0 
A,AT,REACH,Y50-54,NR,T,LU	4 	8 	3 	4 
A,AT,REACH,Y50-54,NR,T,LV	1 	0 	0 	0 
A,AT,REACH,Y50-54,NR,T,NL	10 	6 	5 	8 
A,AT,REACH,Y50-54,NR,T,SE	5 	12 	4 	8 
A,AT,REACH,Y50-54,NR,T,SK	15 	3 	0 	2 
A,AT,REACH,Y55-59,NR,T,BE	: 	: 	10 	6 
A,AT,REACH,Y55-59,NR,T,BG	14 	15 	15 	23 
A,AT,REACH,Y55-59,NR,T,CZ	11 	9 	7 	6 
A,AT,REACH,Y55-59,NR,T,DE	205 e	175 e	171 e	171 e
A,AT,REACH,Y55-59,NR,T,DK	5 	: 	: 	: 
A,AT,REACH,Y55-59,NR,T,EE	: 	: 	1 	2 
