freq,citizen,agedef,age,unit,sex,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,DK,REACH,Y50-54,NR,T,IT	14 	16 	18 	13 
A,DK,REACH,Y50-54,NR,T,LT	3 	0 	0 	: @N
A,DK,REACH,Y50-54,NR,T,LU	3 	5 	5 	3 
A,DK,REACH,Y50-54,NR,T,LV	1 	0 	0 	0 
A,DK,REACH,Y50-54,NR,T,NL	11 	12 	11 	12 
A,DK,REACH,Y50-54,NR,T,SE	61 	89 	80 	81 
A,DK,REACH,Y50-54,NR,T,SK	0 	0 	0 	0 
A,DK,REACH,Y55-59,NR,T,BE	: 	: 	17 	18 
A,DK,REACH,Y55-59,NR,T,BG	3 	4 	8 	5 
A,DK,REACH,Y55-59,NR,T,CZ	1 	0 	6 	0 
A,DK,REACH,Y55-59,NR,T,DE	52 e	26 e	52 e	19 e
A,DK,REACH,Y55-59,NR,T,DK	703 	: 	: 	: 
A,DK,REACH,Y55-59,NR,T,EE	: 	: 	2 	2 
A,DK,REACH,Y55-59,NR,T,ES	126 b	102 	89 	90 
A,DK,REACH,Y55-59,NR,T,FI	2 	4 	1 	8 
A,DK,REACH,Y55-59,NR,T,HR	3 	3 	7 	5 
A,DK,REACH,Y55-59,NR,T,IT	14 	14 	14 	15 
A,DK,REACH,Y55-59,NR,T,LT	2 	0 	0 	: @N
A,DK,REACH,Y55-59,NR,T,LU	6 	1 	7 	8 
A,DK,REACH,Y55-59,NR,T,LV	0 	2 	0 	0 
A,DK,REACH,Y55-59,NR,T,NL	6 	10 	11 	14 
A,DK,REACH,Y55-59,NR,T,SE	65 	59 	87 	87 
A,DK,REACH,Y55-59,NR,T,SK	1 	0 	0 	0 
A,DK,REACH,Y60-64,NR,T,BE	: 	: 	5 	6 
A,DK,REACH,Y60-64,NR,T,BG	3 	3 	9 	3 
A,DK,REACH,Y60-64,NR,T,CZ	1 	1 	1 	2 
A,DK,REACH,Y60-64,NR,T,DE	39 e	18 e	33 e	23 e
A,DK,REACH,Y60-64,NR,T,DK	484 	: 	: 	: 
A,DK,REACH,Y60-64,NR,T,EE	: 	: 	1 	0 
A,DK,REACH,Y60-64,NR,T,ES	111 b	74 	84 	79 
A,DK,REACH,Y60-64,NR,T,FI	1 	3 	2 	1 
A,DK,REACH,Y60-64,NR,T,HR	2 	1 	4 	1 
A,DK,REACH,Y60-64,NR,T,IT	10 	9 	7 	12 
A,DK,REACH,Y60-64,NR,T,LT	2 	0 	: 	0 
A,DK,REACH,Y60-64,NR,T,LU	2 	3 	7 	3 
A,DK,REACH,Y60-64,NR,T,LV	0 	0 	0 	1 
A,DK,REACH,Y60-64,NR,T,NL	2 	4 	5 	0 
A,DK,REACH,Y60-64,NR,T,SE	43 	49 	58 	66 
A,DK,REACH,Y60-64,NR,T,SK	0 	0 	1 	0 
A,DK,REACH,Y65-69,NR,T,BE	: 	: 	0 	2 
A,DK,REACH,Y65-69,NR,T,BG	2 	3 	9 	5 
A,DK,REACH,Y65-69,NR,T,CZ	0 	0 	1 	0 
A,DK,REACH,Y65-69,NR,T,DE	14 e	12 e	18 e	12 e
A,DK,REACH,Y65-69,NR,T,DK	350 	: 	: 	: 
A,DK,REACH,Y65-69,NR,T,EE	: 	: 	1 	0 
A,DK,REACH,Y65-69,NR,T,ES	116 b	72 	74 	63 
A,DK,REACH,Y65-69,NR,T,FI	1 	0 	2 	2 
A,DK,REACH,Y65-69,NR,T,HR	1 	2 	1 	3 
A,DK,REACH,Y65-69,NR,T,IT	2 	8 	6 	4 
A,DK,REACH,Y65-69,NR,T,LT	0 	0 	0 	0 
A,DK,REACH,Y65-69,NR,T,LU	0 	1 	3 	1 
A,DK,REACH,Y65-69,NR,T,LV	1 	0 	0 	1 
A,DK,REACH,Y65-69,NR,T,NL	1 	1 	0 	1 
A,DK,REACH,Y65-69,NR,T,SE	20 	38 	42 	52 
A,DK,REACH,Y65-69,NR,T,SK	0 	0 	0 	0 
A,DK,REACH,Y70-74,NR,T,BE	: 	: 	0 	0 
A,DK,REACH,Y70-74,NR,T,BG	2 	0 	2 	3 
A,DK,REACH,Y70-74,NR,T,CZ	0 	0 	0 	0 
A,DK,REACH,Y70-74,NR,T,DE	10 e	7 e	6 e	5 e
A,DK,REACH,Y70-74,NR,T,DK	238 	: 	: 	: 
A,DK,REACH,Y70-74,NR,T,EE	: 	: 	0 	1 
A,DK,REACH,Y70-74,NR,T,ES	80 b	50 	50 	44 
A,DK,REACH,Y70-74,NR,T,FI	2 	2 	0 	0 
A,DK,REACH,Y70-74,NR,T,HR	0 	0 	0 	1 
A,DK,REACH,Y70-74,NR,T,IT	4 	4 	1 	5 
A,DK,REACH,Y70-74,NR,T,LT	0 	0 	0 	: @N
A,DK,REACH,Y70-74,NR,T,LU	0 	0 	2 	1 
A,DK,REACH,Y70-74,NR,T,LV	0 	0 	1 	0 
A,DK,REACH,Y70-74,NR,T,NL	0 	0 	1 	0 
A,DK,REACH,Y70-74,NR,T,SE	20 	17 	13 	14 
A,DK,REACH,Y70-74,NR,T,SK	0 	0 	0 	0 
A,DK,REACH,Y75-79,NR,T,BE	: 	: 	0 	2 
A,DK,REACH,Y75-79,NR,T,BG	1 	1 	1 	2 
A,DK,REACH,Y75-79,NR,T,CZ	1 	0 	0 	0 
A,DK,REACH,Y75-79,NR,T,DE	5 e	6 e	2 e	4 e
A,DK,REACH,Y75-79,NR,T,DK	173 	: 	: 	: 
A,DK,REACH,Y75-79,NR,T,EE	: 	: 	1 	0 
A,DK,REACH,Y75-79,NR,T,ES	76 b	40 	41 	27 
A,DK,REACH,Y75-79,NR,T,FI	0 	0 	0 	0 
A,DK,REACH,Y75-79,NR,T,HR	0 	1 	1 	0 
A,DK,REACH,Y75-79,NR,T,IT	2 	3 	1 	2 
A,DK,REACH,Y75-79,NR,T,LT	0 	0 	0 	0 
A,DK,REACH,Y75-79,NR,T,LU	0 	0 	2 	1 
A,DK,REACH,Y75-79,NR,T,LV	0 	0 	0 	1 
A,DK,REACH,Y75-79,NR,T,NL	0 	0 	0 	0 
A,DK,REACH,Y75-79,NR,T,SE	16 	8 	13 	16 
A,DK,REACH,Y75-79,NR,T,SK	0 	0 	0 	0 
A,DK,REACH,Y80-84,NR,T,BE	: 	: 	0 	0 
A,DK,REACH,Y80-84,NR,T,BG	0 	0 	0 	0 
A,DK,REACH,Y80-84,NR,T,CZ	0 	0 	0 	1 
A,DK,REACH,Y80-84,NR,T,DE	0 e	2 e	2 e	3 e
A,DK,REACH,Y80-84,NR,T,DK	79 	: 	: 	: 
A,DK,REACH,Y80-84,NR,T,EE	: 	: 	1 	1 
A,DK,REACH,Y80-84,NR,T,ES	33 b	24 	13 	16 
A,DK,REACH,Y80-84,NR,T,FI	0 	0 	0 	0 
A,DK,REACH,Y80-84,NR,T,HR	1 	0 	0 	0 
A,DK,REACH,Y80-84,NR,T,IT	1 	1 	0 	0 
A,DK,REACH,Y80-84,NR,T,LT	0 	0 	0 	0 
A,DK,REACH,Y80-84,NR,T,LU	0 	0 	0 	0 
A,DK,REACH,Y80-84,NR,T,LV	0 	0 	0 	0 
A,DK,REACH,Y80-84,NR,T,NL	0 	0 	0 	0 
A,DK,REACH,Y80-84,NR,T,SE	3 	4 	3 	4 
A,DK,REACH,Y80-84,NR,T,SK	0 	0 	0 	0 
A,DK,REACH,Y85-89,NR,T,BE	: 	: 	1 	0 
A,DK,REACH,Y85-89,NR,T,BG	0 	0 	0 	0 
A,DK,REACH,Y85-89,NR,T,CZ	0 	0 	0 	0 
A,DK,REACH,Y85-89,NR,T,DE	0 e	0 e	0 e	1 e
A,DK,REACH,Y85-89,NR,T,DK	28 	: 	: 	: 
A,DK,REACH,Y85-89,NR,T,EE	: 	: 	0 	0 
A,DK,REACH,Y85-89,NR,T,ES	5 b	12 	3 	4 
A,DK,REACH,Y85-89,NR,T,FI	0 	0 	0 	0 
A,DK,REACH,Y85-89,NR,T,HR	0 	0 	0 	0 
A,DK,REACH,Y85-89,NR,T,IT	1 	0 	0 	2 
A,DK,REACH,Y85-89,NR,T,LT	0 	0 	0 	0 
A,DK,REACH,Y85-89,NR,T,LU	0 	0 	0 	1 
A,DK,REACH,Y85-89,NR,T,LV	0 	0 	0 	0 
A,DK,REACH,Y85-89,NR,T,NL	0 	0 	0 	1 
A,DK,REACH,Y85-89,NR,T,SE	0 	3 	1 	4 
A,DK,REACH,Y85-89,NR,T,SK	0 	0 	0 	0 
A,DK,REACH,Y90-94,NR,T,BE	: 	: 	0 	0 
A,DK,REACH,Y90-94,NR,T,BG	0 	0 	0 	0 
A,DK,REACH,Y90-94,NR,T,CZ	0 	0 	0 	0 
A,DK,REACH,Y90-94,NR,T,DE	0 e	0 e	0 e	0 e
A,DK,REACH,Y90-94,NR,T,DK	6 	: 	: 	: 
A,DK,REACH,Y90-94,NR,T,EE	: 	: 	0 	0 
A,DK,REACH,Y90-94,NR,T,ES	6 b	0 	2 	1 
A,DK,REACH,Y90-94,NR,T,FI	0 	0 	0 	0 
A,DK,REACH,Y90-94,NR,T,HR	0 	0 	1 	0 
A,DK,REACH,Y90-94,NR,T,IT	0 	0 	0 	0 
A,DK,REACH,Y90-94,NR,T,LT	0 	0 	0 	0 
A,DK,REACH,Y90-94,NR,T,LU	0 	0 	0 	0 
A,DK,REACH,Y90-94,NR,T,LV	0 	0 	0 	0 
A,DK,REACH,Y90-94,NR,T,NL	0 	0 	0 	0 
A,DK,REACH,Y90-94,NR,T,SE	0 	1 	0 	0 
A,DK,REACH,Y90-94,NR,T,SK	0 	0 	0 	0 
A,DK,REACH,Y95-99,NR,T,BE	: 	: 	0 	0 
A,DK,REACH,Y95-99,NR,T,BG	0 	0 	0 	0 
A,DK,REACH,Y95-99,NR,T,CZ	0 	0 	0 	0 
A,DK,REACH,Y95-99,NR,T,DE	0 e	0 e	0 e	0 e
A,DK,REACH,Y95-99,NR,T,DK	1 	: 	: 	: 
A,DK,REACH,Y95-99,NR,T,EE	: 	: 	0 	0 
A,DK,REACH,Y95-99,NR,T,ES	0 b	0 	0 	0 
A,DK,REACH,Y95-99,NR,T,FI	0 	0 	0 	0 
A,DK,REACH,Y95-99,NR,T,HR	0 	0 	0 	0 
A,DK,REACH,Y95-99,NR,T,IT	0 	0 	0 	0 
A,DK,REACH,Y95-99,NR,T,LT	0 	0 	0 	0 
A,DK,REACH,Y95-99,NR,T,LU	0 	0 	0 	0 
A,DK,REACH,Y95-99,NR,T,LV	0 	0 	0 	0 
A,DK,REACH,Y95-99,NR,T,NL	0 	0 	0 	0 
A,DK,REACH,Y95-99,NR,T,SE	1 	1 	0 	0 
A,DK,REACH,Y95-99,NR,T,SK	0 	0 	0 	0 
A,DK,REACH,Y_GE100,NR,T,BE	: 	: 	0 	0 
A,DK,REACH,Y_GE100,NR,T,BG	: 	0 	0 	0 
A,DK,REACH,Y_GE100,NR,T,CZ	0 	0 	0 	0 
A,DK,REACH,Y_GE100,NR,T,DE	: 	: 	: 	0 e
A,DK,REACH,Y_GE100,NR,T,DK	0 	: 	: 	: 
A,DK,REACH,Y_GE100,NR,T,EE	: 	: 	0 	0 
A,DK,REACH,Y_GE100,NR,T,ES	0 b	0 	0 	0 
A,DK,REACH,Y_GE100,NR,T,FI	0 	0 	0 	0 
A,DK,REACH,Y_GE100,NR,T,HR	0 	0 	0 	0 
A,DK,REACH,Y_GE100,NR,T,IT	0 	0 	0 	0 
A,DK,REACH,Y_GE100,NR,T,LT	0 	0 	0 	0 
A,DK,REACH,Y_GE100,NR,T,LU	0 	0 	0 	0 
A,DK,REACH,Y_GE100,NR,T,LV	0 	0 	0 	0 
A,DK,REACH,Y_GE100,NR,T,NL	0 	0 	0 	0 
A,DK,REACH,Y_GE100,NR,T,SE	0 	0 	0 	0 
A,DK,REACH,Y_GE100,NR,T,SK	0 	0 	0 	0 
A,DK,REACH,Y_GE65,NR,T,BE	: 	: 	1 	4 
A,DK,REACH,Y_GE65,NR,T,BG	: 	4 	12 	10 
A,DK,REACH,Y_GE65,NR,T,CZ	1 	0 	1 	1 
A,DK,REACH,Y_GE65,NR,T,DE	: 	: 	: 	25 e
A,DK,REACH,Y_GE65,NR,T,DK	875 	: 	: 	: 
A,DK,REACH,Y_GE65,NR,T,EE	: 	: 	3 	2 
A,DK,REACH,Y_GE65,NR,T,ES	316 b	: 	: 	155 
A,DK,REACH,Y_GE65,NR,T,FI	3 	2 	2 	2 
A,DK,REACH,Y_GE65,NR,T,HR	2 	3 	3 	4 
A,DK,REACH,Y_GE65,NR,T,IT	10 	16 	8 	13 
A,DK,REACH,Y_GE65,NR,T,LT	0 	0 	: 	: @N
A,DK,REACH,Y_GE65,NR,T,LU	0 	1 	7 	4 
A,DK,REACH,Y_GE65,NR,T,LV	1 	0 	1 	2 
A,DK,REACH,Y_GE65,NR,T,NL	1 	1 	1 	2 
A,DK,REACH,Y_GE65,NR,T,SE	60 	72 	72 	90 
A,DK,REACH,Y_GE65,NR,T,SK	0 	0 	0 	0 
A,DK,REACH,Y_GE85,NR,T,BE	: 	: 	1 	0 
A,DK,REACH,Y_GE85,NR,T,BG	: 	0 	0 	0 
A,DK,REACH,Y_GE85,NR,T,CZ	0 	0 	0 	0 
A,DK,REACH,Y_GE85,NR,T,DE	: 	: 	: 	1 e
A,DK,REACH,Y_GE85,NR,T,DK	35 	: 	: 	: 
A,DK,REACH,Y_GE85,NR,T,EE	: 	: 	0 	0 
A,DK,REACH,Y_GE85,NR,T,ES	11 b	: 	: 	5 
A,DK,REACH,Y_GE85,NR,T,FI	0 	0 	0 	0 
A,DK,REACH,Y_GE85,NR,T,HR	0 	0 	1 	0 
A,DK,REACH,Y_GE85,NR,T,IT	1 	0 	0 	2 
A,DK,REACH,Y_GE85,NR,T,LT	0 	0 	: 	0 
A,DK,REACH,Y_GE85,NR,T,LU	0 	0 	0 	1 
A,DK,REACH,Y_GE85,NR,T,LV	0 	0 	0 	0 
A,DK,REACH,Y_GE85,NR,T,NL	0 	0 	0 	1 
A,DK,REACH,Y_GE85,NR,T,SE	1 	5 	1 	4 
A,DK,REACH,Y_GE85,NR,T,SK	0 	0 	0 	0 
A,DK,REACH,Y_LT15,NR,T,BE	: 	: 	27 	20 
A,DK,REACH,Y_LT15,NR,T,BG	1 	3 	1 	7 
A,DK,REACH,Y_LT15,NR,T,CZ	2 	9 	2 	1 
A,DK,REACH,Y_LT15,NR,T,DE	: 	: 	: 	70 e
A,DK,REACH,Y_LT15,NR,T,DK	3178 	: 	: 	: 
A,DK,REACH,Y_LT15,NR,T,EE	: 	: 	1 	0 
A,DK,REACH,Y_LT15,NR,T,ES	124 b	: 	: 	166 
A,DK,REACH,Y_LT15,NR,T,FI	5 	10 	8 	3 
A,DK,REACH,Y_LT15,NR,T,HR	0 	0 	0 	2 
A,DK,REACH,Y_LT15,NR,T,IT	18 	26 	15 	25 
A,DK,REACH,Y_LT15,NR,T,LT	0 	: 	: 	0 
A,DK,REACH,Y_LT15,NR,T,LU	5 	15 	6 	3 
A,DK,REACH,Y_LT15,NR,T,LV	0 	0 	0 	0 
A,DK,REACH,Y_LT15,NR,T,NL	20 	23 	36 	20 
A,DK,REACH,Y_LT15,NR,T,SE	256 	242 	207 	169 
A,DK,REACH,Y_LT15,NR,T,SK	0 	0 	0 	0 
A,DK,REACH,Y_LT5,NR,T,BE	: 	: 	8 	6 
A,DK,REACH,Y_LT5,NR,T,BG	1 	0 	0 	2 
A,DK,REACH,Y_LT5,NR,T,CZ	2 	3 	0 	0 
A,DK,REACH,Y_LT5,NR,T,DE	49 e	39 e	32 e	29 e
A,DK,REACH,Y_LT5,NR,T,DK	1456 	: 	: 	: 
A,DK,REACH,Y_LT5,NR,T,EE	: 	: 	1 	0 
A,DK,REACH,Y_LT5,NR,T,ES	44 b	45 	52 	35 
A,DK,REACH,Y_LT5,NR,T,FI	3 	5 	3 	1 
A,DK,REACH,Y_LT5,NR,T,HR	0 	0 	0 	1 
A,DK,REACH,Y_LT5,NR,T,IT	5 	14 	4 	5 
A,DK,REACH,Y_LT5,NR,T,LT	0 	: 	: 	0 
A,DK,REACH,Y_LT5,NR,T,LU	1 	9 	2 	1 
A,DK,REACH,Y_LT5,NR,T,LV	0 	0 	0 	0 
A,DK,REACH,Y_LT5,NR,T,NL	10 	8 	16 	9 
A,DK,REACH,Y_LT5,NR,T,SE	145 	136 	111 	87 
A,DK,REACH,Y_LT5,NR,T,SK	0 	0 	0 	0 
A,EE,REACH,TOTAL,NR,T,AT	55 	68 	71 	75 
A,EE,REACH,TOTAL,NR,T,BE	: 	: 	126 	122 
A,EE,REACH,TOTAL,NR,T,BG	25 	24 	64 	37 
A,EE,REACH,TOTAL,NR,T,CZ	34 	21 	21 	34 
A,EE,REACH,TOTAL,NR,T,DE	317 e	414 e	421 e	464 e
A,EE,REACH,TOTAL,NR,T,DK	86 	: 	: 	: 
A,EE,REACH,TOTAL,NR,T,EE	: 	6981 	5758 	5218 
A,EE,REACH,TOTAL,NR,T,ES	: b@N	: 	: 	: @N
A,EE,REACH,TOTAL,NR,T,FI	2368 	1825 	1401 	1084 
A,EE,REACH,TOTAL,NR,T,FR	124 	89 p	102 p	239 p
A,EE,REACH,TOTAL,NR,T,HR	8 	8 	7 	7 
A,EE,REACH,TOTAL,NR,T,HU	17 	10 	14 	18 
A,EE,REACH,TOTAL,NR,T,IT	65 	71 	57 	90 
A,EE,REACH,TOTAL,NR,T,LT	26 	13 	22 	30 
A,EE,REACH,TOTAL,NR,T,LU	21 	26 	29 	28 
A,EE,REACH,TOTAL,NR,T,LV	34 	31 	16 	17 
A,EE,REACH,TOTAL,NR,T,NL	304 	325 	323 	298 
A,EE,REACH,TOTAL,NR,T,RO	37 	12 e	13 	14 
A,EE,REACH,TOTAL,NR,T,SE	232 	371 	411 	351 
A,EE,REACH,TOTAL,NR,T,SI	2 	2 	9 	8 
A,EE,REACH,TOTAL,NR,T,SK	6 	5 	5 	2 
A,EE,REACH,UNK,NR,T,AT	: 	: 	0 	: 
A,EE,REACH,UNK,NR,T,BE	: 	: 	0 	0 
A,EE,REACH,UNK,NR,T,BG	: 	: 	0 	0 
A,EE,REACH,UNK,NR,T,CZ	: 	: 	0 	0 
A,EE,REACH,UNK,NR,T,DE	0 	0 	0 	0 
A,EE,REACH,UNK,NR,T,DK	0 	: 	: 	: 
A,EE,REACH,UNK,NR,T,EE	: 	: 	0 	0 
A,EE,REACH,UNK,NR,T,ES	0 	0 	0 	0 
A,EE,REACH,UNK,NR,T,FI	: 	: 	0 	0 
A,EE,REACH,UNK,NR,T,HR	: 	: 	0 	0 
A,EE,REACH,UNK,NR,T,HU	0 	: 	0 	: 
A,EE,REACH,UNK,NR,T,IT	: 	0 	0 	0 
A,EE,REACH,UNK,NR,T,LT	0 	: 	0 	0 
A,EE,REACH,UNK,NR,T,LU	: 	: 	0 	0 
A,EE,REACH,UNK,NR,T,LV	0 	: 	0 	0 
A,EE,REACH,UNK,NR,T,NL	: 	: 	0 	0 
A,EE,REACH,UNK,NR,T,SE	: 	: 	0 	0 
A,EE,REACH,UNK,NR,T,SI	: 	: 	0 	: 
A,EE,REACH,UNK,NR,T,SK	: 	: 	0 	0 
A,EE,REACH,Y10-14,NR,T,BE	: 	: 	3 	3 
A,EE,REACH,Y10-14,NR,T,BG	0 	0 	1 	1 
A,EE,REACH,Y10-14,NR,T,CZ	4 	1 	0 	7 
A,EE,REACH,Y10-14,NR,T,DE	6 e	12 e	15 e	15 e
A,EE,REACH,Y10-14,NR,T,DK	0 	: 	: 	: 
A,EE,REACH,Y10-14,NR,T,EE	: 	: 	135 	151 
A,EE,REACH,Y10-14,NR,T,ES	: b@N	: 	: 	: @N
A,EE,REACH,Y10-14,NR,T,FI	79 	83 	73 	51 
A,EE,REACH,Y10-14,NR,T,HR	1 	0 	0 	1 
A,EE,REACH,Y10-14,NR,T,IT	2 	4 	2 	4 
A,EE,REACH,Y10-14,NR,T,LT	0 	0 	0 	0 
A,EE,REACH,Y10-14,NR,T,LU	1 	2 	0 	2 
A,EE,REACH,Y10-14,NR,T,LV	0 	1 	0 	0 
A,EE,REACH,Y10-14,NR,T,NL	2 	0 	6 	3 
A,EE,REACH,Y10-14,NR,T,SE	7 	9 	5 	7 
A,EE,REACH,Y10-14,NR,T,SK	0 	0 	0 	0 
A,EE,REACH,Y15-19,NR,T,BE	: 	: 	5 	13 
A,EE,REACH,Y15-19,NR,T,BG	0 	0 	2 	1 
A,EE,REACH,Y15-19,NR,T,CZ	3 	0 	1 	1 
A,EE,REACH,Y15-19,NR,T,DE	12 e	27 e	34 e	24 e
A,EE,REACH,Y15-19,NR,T,DK	24 	: 	: 	: 
A,EE,REACH,Y15-19,NR,T,EE	: 	: 	184 	159 
A,EE,REACH,Y15-19,NR,T,ES	: b@N	: 	: 	: @N
A,EE,REACH,Y15-19,NR,T,FI	48 	71 	78 	58 
A,EE,REACH,Y15-19,NR,T,HR	0 	0 	0 	0 
A,EE,REACH,Y15-19,NR,T,IT	5 	3 	3 	7 
A,EE,REACH,Y15-19,NR,T,LT	2 	0 	0 	: @N
A,EE,REACH,Y15-19,NR,T,LU	1 	1 	0 	1 
A,EE,REACH,Y15-19,NR,T,LV	0 	0 	1 	1 
A,EE,REACH,Y15-19,NR,T,NL	89 	80 	82 	75 
A,EE,REACH,Y15-19,NR,T,SE	7 	14 	12 	16 
A,EE,REACH,Y15-19,NR,T,SK	0 	0 	0 	0 
A,EE,REACH,Y15-64,NR,T,BE	: 	: 	111 	106 
A,EE,REACH,Y15-64,NR,T,BG	18 	12 	49 	30 
A,EE,REACH,Y15-64,NR,T,CZ	25 	20 	21 	23 
A,EE,REACH,Y15-64,NR,T,DE	: 	: 	: 	413 e
A,EE,REACH,Y15-64,NR,T,DK	81 	: 	: 	: 
A,EE,REACH,Y15-64,NR,T,EE	: 	: 	4542 	4111 
A,EE,REACH,Y15-64,NR,T,ES	: b@N	: 	: 	: @N
A,EE,REACH,Y15-64,NR,T,FI	2077 	1485 	1150 	869 
A,EE,REACH,Y15-64,NR,T,HR	5 	8 	6 	4 
A,EE,REACH,Y15-64,NR,T,IT	55 	59 	48 	79 
A,EE,REACH,Y15-64,NR,T,LT	24 	: 	: 	: @N
A,EE,REACH,Y15-64,NR,T,LU	18 	19 	26 	18 
A,EE,REACH,Y15-64,NR,T,LV	30 	25 	13 	14 
A,EE,REACH,Y15-64,NR,T,NL	293 	313 	303 	291 
A,EE,REACH,Y15-64,NR,T,SE	210 	336 	379 	321 
A,EE,REACH,Y15-64,NR,T,SK	6 	5 	3 	2 
A,EE,REACH,Y20-24,NR,T,BE	: 	: 	24 	25 
A,EE,REACH,Y20-24,NR,T,BG	0 	2 	4 	0 
A,EE,REACH,Y20-24,NR,T,CZ	1 	4 	2 	2 
A,EE,REACH,Y20-24,NR,T,DE	55 e	94 e	73 e	80 e
A,EE,REACH,Y20-24,NR,T,DK	28 	: 	: 	: 
A,EE,REACH,Y20-24,NR,T,EE	: 	: 	329 	319 
A,EE,REACH,Y20-24,NR,T,ES	: b@N	: 	: 	: @N
A,EE,REACH,Y20-24,NR,T,FI	198 	171 	125 	114 
A,EE,REACH,Y20-24,NR,T,HR	1 	4 	0 	0 
A,EE,REACH,Y20-24,NR,T,IT	2 	6 	6 	6 
A,EE,REACH,Y20-24,NR,T,LT	2 	: 	: 	8 
A,EE,REACH,Y20-24,NR,T,LU	3 	6 	2 	3 
A,EE,REACH,Y20-24,NR,T,LV	6 	4 	1 	0 
A,EE,REACH,Y20-24,NR,T,NL	124 	129 	111 	111 
A,EE,REACH,Y20-24,NR,T,SE	33 	55 	71 	69 
A,EE,REACH,Y20-24,NR,T,SK	3 	2 	0 	0 
A,EE,REACH,Y25-29,NR,T,BE	: 	: 	21 	18 
A,EE,REACH,Y25-29,NR,T,BG	1 	2 	9 	5 
A,EE,REACH,Y25-29,NR,T,CZ	6 	2 	2 	7 
A,EE,REACH,Y25-29,NR,T,DE	56 e	60 e	73 e	61 e
A,EE,REACH,Y25-29,NR,T,DK	8 	: 	: 	: 
A,EE,REACH,Y25-29,NR,T,EE	: 	: 	424 	407 
A,EE,REACH,Y25-29,NR,T,ES	: b@N	: 	: 	: @N
A,EE,REACH,Y25-29,NR,T,FI	301 	238 	164 	107 
A,EE,REACH,Y25-29,NR,T,HR	1 	2 	2 	0 
A,EE,REACH,Y25-29,NR,T,IT	9 	9 	6 	12 
A,EE,REACH,Y25-29,NR,T,LT	3 	0 	4 	3 
A,EE,REACH,Y25-29,NR,T,LU	3 	2 	7 	1 
A,EE,REACH,Y25-29,NR,T,LV	4 	5 	0 	1 
A,EE,REACH,Y25-29,NR,T,NL	30 	38 	38 	39 
A,EE,REACH,Y25-29,NR,T,SE	35 	59 	78 	55 
A,EE,REACH,Y25-29,NR,T,SK	2 	2 	0 	1 
A,EE,REACH,Y30-34,NR,T,BE	: 	: 	20 	17 
A,EE,REACH,Y30-34,NR,T,BG	2 	3 	4 	5 
A,EE,REACH,Y30-34,NR,T,CZ	4 	6 	6 	2 
A,EE,REACH,Y30-34,NR,T,DE	41 e	51 e	58 e	67 e
A,EE,REACH,Y30-34,NR,T,DK	7 	: 	: 	: 
A,EE,REACH,Y30-34,NR,T,EE	: 	: 	643 	495 
A,EE,REACH,Y30-34,NR,T,ES	: b@N	: 	: 	: @N
A,EE,REACH,Y30-34,NR,T,FI	375 	246 	178 	105 
A,EE,REACH,Y30-34,NR,T,HR	2 	1 	2 	0 
A,EE,REACH,Y30-34,NR,T,IT	9 	12 	6 	15 
A,EE,REACH,Y30-34,NR,T,LT	3 	4 	3 	3 
A,EE,REACH,Y30-34,NR,T,LU	2 	3 	8 	2 
A,EE,REACH,Y30-34,NR,T,LV	7 	6 	1 	1 
A,EE,REACH,Y30-34,NR,T,NL	19 	32 	27 	18 
A,EE,REACH,Y30-34,NR,T,SE	54 	60 	66 	45 
A,EE,REACH,Y30-34,NR,T,SK	1 	0 	0 	1 
A,EE,REACH,Y35-39,NR,T,BE	: 	: 	13 	9 
A,EE,REACH,Y35-39,NR,T,BG	3 	0 	6 	3 
A,EE,REACH,Y35-39,NR,T,CZ	2 	2 	4 	1 
A,EE,REACH,Y35-39,NR,T,DE	44 e	35 e	53 e	63 e
A,EE,REACH,Y35-39,NR,T,DK	6 	: 	: 	: 
A,EE,REACH,Y35-39,NR,T,EE	: 	: 	661 	565 
A,EE,REACH,Y35-39,NR,T,ES	: b@N	: 	: 	: @N
A,EE,REACH,Y35-39,NR,T,FI	341 	212 	162 	131 
A,EE,REACH,Y35-39,NR,T,HR	0 	0 	0 	2 
A,EE,REACH,Y35-39,NR,T,IT	10 	7 	4 	10 
A,EE,REACH,Y35-39,NR,T,LT	3 	: 	6 	7 
A,EE,REACH,Y35-39,NR,T,LU	3 	2 	3 	4 
A,EE,REACH,Y35-39,NR,T,LV	5 	4 	3 	3 
A,EE,REACH,Y35-39,NR,T,NL	13 	15 	22 	21 
A,EE,REACH,Y35-39,NR,T,SE	29 	46 	54 	40 
A,EE,REACH,Y35-39,NR,T,SK	0 	0 	1 	0 
A,EE,REACH,Y40-44,NR,T,BE	: 	: 	11 	12 
A,EE,REACH,Y40-44,NR,T,BG	2 	0 	7 	6 
A,EE,REACH,Y40-44,NR,T,CZ	3 	1 	1 	4 
A,EE,REACH,Y40-44,NR,T,DE	25 e	36 e	38 e	41 e
A,EE,REACH,Y40-44,NR,T,DK	4 	: 	: 	: 
A,EE,REACH,Y40-44,NR,T,EE	: 	: 	554 	507 
A,EE,REACH,Y40-44,NR,T,ES	: b@N	: 	: 	: @N
A,EE,REACH,Y40-44,NR,T,FI	259 	166 	123 	113 
A,EE,REACH,Y40-44,NR,T,HR	0 	0 	0 	2 
